#{"t_start": 1772835269.6216965, "env_id": "None"}
r,l,t
-3499.0,87,7.351084
-3363.0,87,12.412317
-3483.0,88,17.870051
-3751.0,87,22.917376
-3507.0,88,27.905663
-3707.0,86,33.570955
-3159.0,87,38.645506
-3987.0,87,43.742758
-3722.0,86,48.709304
-3580.0,88,53.70114
-3543.0,88,58.586
-3118.0,88,63.890745
-3682.0,88,69.252044
-3812.0,87,74.246598
-4535.0,88,79.251036
-3081.0,87,84.14194
-3565.0,86,89.061471
-3188.0,88,94.468724
-3231.0,88,99.577217
-4212.0,87,104.684097
-3894.0,86,109.906278
-3378.0,87,114.89238
-3739.0,87,119.852535
-3422.0,88,125.329278
-3479.0,88,130.422674
-3681.0,88,135.625495
-3535.0,88,140.983443
-3486.0,87,146.204136
-3330.0,88,151.140353
-3138.0,88,156.673017
-3475.0,88,162.186571
-3819.0,87,167.936389
-3577.0,87,172.953941
-3552.0,89,177.95249
-3355.0,87,183.078088
-3806.0,88,188.474418
-3507.0,88,193.500895
-3637.0,86,198.594473
-3378.0,87,203.516985
-3209.0,88,208.539816
-3451.0,87,213.713729
-3077.0,87,218.962293
-3311.0,88,223.925478
-3827.0,86,228.990165
-3810.0,88,233.9373
-3601.0,88,238.949662
-3340.0,88,244.247352
-3565.0,87,249.359488
-3451.0,86,254.303754
-3983.0,86,259.378525
-3349.0,88,264.404295
-4104.0,88,269.40473
-3486.0,86,274.795458
-3324.0,87,279.882937
-3932.0,88,284.858403
-3655.0,88,289.80675
-3122.0,87,294.759703
-3266.0,88,299.67938
-3831.0,88,305.021438
-3458.0,89,310.040539
-3259.0,88,315.045658
-3783.0,86,320.082346
-3911.0,88,325.008666
-3399.0,87,329.958521
-4228.0,87,335.455804
-3798.0,88,340.427074
-3578.0,87,345.503477
-3241.0,88,350.409302
-3441.0,88,355.352355
-3376.0,86,360.385782
-3500.0,88,365.757626
-3306.0,89,370.711333
-3612.0,88,375.671158
-3617.0,87,380.834337
-3409.0,88,389.26579
-3945.0,88,398.577932
-3352.0,87,408.308115
-3330.0,88,416.866441
-3565.0,88,425.814525
-3362.0,88,434.538482
-3790.0,88,443.373369
-4332.0,87,453.243443
-4325.0,87,462.444084
-3323.0,87,471.468683
-3467.0,87,480.129481
-3718.0,88,489.134193
-4135.0,86,498.106448
-3439.0,88,507.71255
-3783.0,87,516.435751
-3475.0,87,525.50552
-3815.0,87,534.432236
-3605.0,87,543.429624
-3746.0,88,552.43119
-3845.0,86,561.816049
-3665.0,88,570.546183
-3327.0,88,579.474571
-3750.0,86,587.900001
-3692.0,87,596.480402
-3431.0,88,604.952111
-3619.0,89,614.798876
-3362.0,88,623.962535
-3838.0,88,633.092765
-3726.0,88,641.274577
-3709.0,88,649.954121
-3406.0,88,658.621285
-3522.0,88,667.949686
-3233.0,88,676.536672
-3243.0,88,685.045626
-3850.0,89,693.590489
-3882.0,86,701.972375
-3573.0,88,710.470115
-3369.0,88,719.752509
-3185.0,88,728.270554
-3125.0,88,736.73043
-3517.0,87,745.399156
-3939.0,86,754.129263
-3371.0,88,762.920086
-3420.0,88,772.209499
-3688.0,88,781.781394
-3454.0,88,790.75924
-3119.0,88,799.336228
-3832.0,88,807.842367
-3528.0,87,817.130084
-3615.0,88,825.786995
-3996.0,86,834.683499
-3222.0,88,843.259731
-3647.0,87,851.890255
-3938.0,86,860.523637
-3267.0,87,869.856122
-3369.0,87,878.284636
-3660.0,87,886.936064
-3363.0,88,895.476343
-3373.0,88,904.126333
-3372.0,88,913.63338
-3504.0,86,924.595137
-3844.0,88,933.244093
-4018.0,86,941.817313
-3740.0,86,950.532744
-4533.0,87,959.084415
-3950.0,88,967.56001
-3238.0,87,976.48162
-3769.0,88,984.949839
-3693.0,86,993.32295
-3295.0,88,1001.71577
-2947.0,88,1010.315882
-3462.0,88,1018.413988
-3882.0,88,1027.28566
-3387.0,88,1033.672522
-3521.0,88,1039.86808
-4027.0,88,1045.880605
-3812.0,88,1051.074394
-3742.0,88,1056.365138
-3693.0,88,1061.748816
-3055.0,88,1066.913219
-3675.0,88,1071.92805
-3387.0,88,1076.943563
-3308.0,87,1081.974889
-4028.0,86,1087.126913
-3421.0,88,1092.456994
-3360.0,88,1097.611517
-3659.0,89,1102.614835
-4018.0,87,1107.82598
-3400.0,87,1113.078628
-3661.0,86,1118.620619
-3736.0,88,1123.691066
-3198.0,87,1128.672086
-3098.0,86,1133.723708
-3157.0,88,1138.816634
-3449.0,88,1143.812289
-3702.0,86,1149.205546
-3650.0,86,1156.917521
-3533.0,87,1165.582386
-3218.0,88,1174.139115
-4042.0,88,1182.639475
-3884.0,88,1191.343711
-3241.0,87,1200.611957
-3442.0,88,1209.161173
-3879.0,88,1217.835515
-3423.0,88,1226.651599
-3239.0,88,1235.162826
-3976.0,88,1244.167821
-3624.0,88,1254.030267
-3241.0,88,1262.843136
-3568.0,88,1271.361018
-3604.0,88,1280.234627
-3982.0,87,1289.471638
-3146.0,88,1298.301023
-3716.0,88,1307.999866
-3491.0,88,1316.83504
-3766.0,86,1321.79284
-3564.0,87,1326.800989
-3806.0,86,1331.847484
-3565.0,86,1337.010195
-3720.0,87,1342.415524
-3834.0,87,1347.786562
-3357.0,87,1353.008196
-3681.0,88,1358.071667
-3524.0,88,1362.977834
-3400.0,88,1367.936722
-3485.0,89,1373.269802
-3161.0,88,1378.34773
-3698.0,88,1383.344881
-3386.0,88,1388.398242
-3706.0,88,1393.385601
-3323.0,88,1398.770226
-3079.0,87,1404.178528
-3795.0,88,1409.523948
-3066.0,88,1414.778419
