#{"t_start": 1774530457.6146696, "env_id": "None"}
r,l,t
-3789.0,687,16.160533
-3405.0,688,31.576263
-3921.0,688,52.357342
-3470.0,687,67.528836
-3344.0,688,82.749301
-3755.0,686,103.672574
-3467.0,688,129.172613
-3960.0,687,157.175196
-3990.0,688,195.287293
-3817.0,687,222.81604
-3413.0,688,249.806781
-4016.0,687,289.417466
-3446.0,686,318.382602
-3679.0,689,347.118076
-3525.0,687,389.11153
-3594.0,688,414.900418
-3594.0,687,430.808422
-3188.0,687,452.05398
-3474.0,688,469.983254
-3279.0,688,485.54381
-3694.0,686,506.439686
-3804.0,686,521.638908
-3713.0,688,537.013764
-3962.0,688,557.702464
-3424.0,688,572.968968
-3679.0,688,588.543878
-4165.0,688,609.316711
-3483.0,688,624.713403
-3540.0,688,639.974076
-3360.0,688,660.819498
-3788.0,688,676.217
-3500.0,688,691.507097
-3195.0,687,715.125908
-3926.0,688,742.34623
-4481.0,688,769.499905
-3565.0,688,807.447744
-3797.0,686,834.684348
-3469.0,688,862.963381
-3816.0,686,883.264164
-3314.0,687,896.923948
-3229.0,687,910.598574
-3609.0,687,929.174849
-3543.0,688,946.987177
-3529.0,688,962.31026
-3520.0,688,980.198617
-3863.0,688,993.514171
-3275.0,688,1007.135704
-3550.0,687,1028.845785
-3553.0,688,1042.751637
-3562.0,687,1056.29644
-3689.0,688,1074.466537
-3402.0,688,1088.402325
-3544.0,687,1103.32146
-3271.0,688,1122.331211
-4091.0,688,1135.694689
-3608.0,688,1148.43487
-3789.0,688,1166.650303
-3463.0,688,1182.027447
-3865.0,687,1199.523432
-3561.0,687,1219.244333
-3604.0,688,1233.522622
-3597.0,688,1247.409533
-3577.0,687,1266.819039
-3095.0,687,1284.309739
-3802.0,688,1297.798941
-4268.0,687,1315.491406
-3079.0,687,1328.823946
-3666.0,688,1341.750037
-3693.0,687,1359.339666
-3587.0,687,1372.468352
-3370.0,686,1385.553128
-3478.0,688,1403.140155
-3568.0,686,1416.353806
-3508.0,688,1429.4209
-3322.0,689,1446.965187
-3801.0,688,1460.050164
-3719.0,687,1473.305718
-3511.0,688,1492.126903
-3602.0,686,1506.228628
-4115.0,687,1520.556149
-3489.0,687,1539.87305
-3390.0,688,1553.645346
-3834.0,688,1567.314997
-3758.0,688,1585.81145
-3294.0,688,1599.69427
-3657.0,686,1615.170193
-3132.0,688,1646.287077
-3059.0,688,1662.530957
-3608.0,688,1676.139937
-3633.0,687,1695.975814
-3772.0,687,1711.174613
-3301.0,688,1725.558959
-3591.0,688,1745.465797
-3537.0,688,1761.859243
-3835.0,688,1777.794917
-3317.0,688,1797.338597
-3563.0,687,1811.901775
-3675.0,687,1825.569014
-4315.0,687,1844.367932
-3810.0,687,1857.896311
-4179.0,687,1871.633543
-3389.0,688,1889.973114
-4022.0,686,1903.454886
-3192.0,687,1918.23509
-4337.0,687,1938.213393
-3012.0,687,1953.321523
-3664.0,688,1968.029766
-3473.0,687,1987.30243
-3662.0,686,2001.99032
-3296.0,688,2016.694042
-3018.0,688,2037.325906
-3574.0,686,2051.184255
-3417.0,688,2064.812534
-3506.0,688,2084.014167
-3585.0,688,2098.003695
-3356.0,688,2112.029977
-3680.0,687,2131.329669
-3126.0,688,2144.550967
-3627.0,688,2158.786928
-3544.0,688,2178.056961
-4137.0,686,2192.450288
-3186.0,688,2206.762023
-3538.0,687,2225.414469
-3335.0,687,2239.36333
-3565.0,688,2252.896548
-3353.0,687,2271.491151
-3518.0,686,2285.56866
-4027.0,686,2299.566558
-3795.0,688,2316.745162
-3849.0,687,2329.438526
-3471.0,688,2342.153836
-3911.0,687,2359.201509
-3546.0,688,2371.932588
-3561.0,688,2384.701137
-3617.0,688,2401.724344
-3423.0,687,2414.445234
-3767.0,687,2427.161406
-3244.0,688,2444.053841
-3988.0,688,2456.880378
-3535.0,688,2469.539455
-3102.0,688,2486.316564
-3583.0,689,2499.056833
-3609.0,688,2516.085879
-4234.0,686,2529.180262
-3420.0,687,2542.03379
-4506.0,687,2559.356009
