#{"t_start": 1772989638.5867548, "env_id": "None"}
r,l,t
-3827.0,688,11.23157
-4060.0,686,21.504205
-3901.0,688,32.69469
-4033.0,687,42.919106
-3337.0,688,53.101982
-3598.0,687,64.34725
-3947.0,688,74.593166
-3398.0,688,84.876654
-3723.0,689,96.080313
-3266.0,688,106.242374
-3758.0,686,116.473351
-4306.0,687,127.773866
-3063.0,688,138.015619
-3501.0,688,148.321369
-3624.0,688,159.988797
-3386.0,688,170.206527
-3888.0,688,180.443905
-3577.0,688,191.57311
-3905.0,687,201.740969
-3467.0,688,211.968037
-3706.0,688,223.248064
-3191.0,688,233.475924
-4150.0,686,244.184944
-3693.0,686,255.476158
-3974.0,687,265.689538
-3372.0,688,276.104904
-3213.0,687,287.365643
-4181.0,687,297.630365
-3762.0,688,307.98052
-3480.0,688,319.240785
-3625.0,688,329.507168
-3576.0,688,339.744017
-3523.0,687,350.997413
-4156.0,688,361.391753
-4083.0,687,371.673585
-3405.0,686,383.014739
-3730.0,686,393.351703
-3723.0,687,403.568128
-3372.0,687,414.908104
-3299.0,688,425.166594
-3843.0,688,435.431264
-3899.0,687,446.670064
-3334.0,687,456.926794
-3805.0,687,467.384716
-3602.0,688,478.726119
-3732.0,688,489.004546
-3792.0,688,499.19096
-3852.0,686,510.41794
-3659.0,688,520.719772
-3388.0,688,531.022238
-3630.0,689,542.342822
-3835.0,688,552.714824
-4257.0,688,562.972038
-3915.0,688,574.246384
-4387.0,686,584.549534
-3712.0,688,594.713327
-3684.0,688,606.499279
-3410.0,688,616.71785
-3066.0,688,626.904757
-3191.0,687,638.093085
-3825.0,687,648.301069
-4212.0,688,658.584916
-3579.0,688,669.899873
-3912.0,686,680.10482
-3932.0,688,690.367426
-3513.0,686,701.623147
-4079.0,688,711.875934
-3682.0,687,722.079734
-4118.0,689,733.465206
-3500.0,688,743.673121
-3233.0,688,753.906729
-3675.0,687,765.273468
-3529.0,688,775.581499
-3422.0,688,785.953596
-3656.0,687,797.181044
-3317.0,688,807.554645
-3487.0,688,817.774398
-3414.0,687,829.119723
-3503.0,688,839.520673
-3486.0,688,850.485384
-3207.0,688,861.820587
-3611.0,686,872.138095
-3619.0,687,882.613052
-3587.0,687,893.89517
-3927.0,688,904.193132
-3703.0,688,914.452318
-3653.0,688,925.756226
-3625.0,688,936.032922
-3567.0,688,946.464209
