#{"t_start": 1774860329.7451491, "env_id": "None"}
r,l,t
-3499.0,687,15.310527
-3447.0,688,30.390885
-3970.0,688,44.718594
-3313.0,688,58.048356
-3270.0,688,72.768507
-3728.0,688,87.614742
-3814.0,687,100.311863
-3513.0,688,115.074877
-3481.0,688,129.895858
-3114.0,687,142.415011
-4094.0,687,157.252083
-3624.0,688,172.197545
-3768.0,688,184.85501
-3816.0,687,199.675688
-4557.0,688,214.607791
-3904.0,689,227.237379
-3700.0,688,242.642446
-3598.0,686,257.618435
-4159.0,688,270.718222
-4240.0,687,289.174025
-3808.0,686,305.591769
-3580.0,687,323.809823
-3399.0,687,347.732838
-3333.0,688,363.434262
-3720.0,688,376.849603
-3070.0,688,392.909538
-3642.0,687,408.64346
-3727.0,688,421.914482
-3708.0,687,437.552935
-3284.0,688,453.306064
-3388.0,688,466.58139
-3642.0,688,482.230524
-3838.0,688,497.826042
-3529.0,687,511.07442
-3597.0,688,526.595581
-3197.0,688,542.043091
-3665.0,687,555.357262
-3426.0,687,571.148858
-4154.0,688,587.490429
-3564.0,687,601.739296
-3475.0,688,617.581509
-3738.0,688,633.644581
-3566.0,687,646.936943
-3039.0,688,663.161091
-3563.0,687,679.662022
-3757.0,686,693.750964
-3811.0,688,709.786849
-3772.0,687,725.915654
-4334.0,688,739.271836
-3781.0,688,754.86302
-3434.0,689,770.594653
-3748.0,688,783.88731
-4158.0,688,799.475831
-3135.0,688,815.156612
-3582.0,688,828.243906
-4017.0,688,843.975733
-3325.0,688,860.637375
-3056.0,688,878.320374
-4275.0,686,897.447212
-3545.0,688,931.564108
-3228.0,688,967.856777
-3513.0,687,1042.728794
-3424.0,689,1059.975628
-3348.0,689,1079.299221
-3486.0,687,1096.26489
-3368.0,687,1112.52892
-3809.0,688,1131.282493
-3678.0,688,1148.802929
-3968.0,687,1165.455874
-3552.0,688,1181.172214
-3142.0,688,1194.688103
-4500.0,686,1210.641587
-3395.0,688,1226.486788
-3565.0,688,1240.032353
-3707.0,688,1261.427396
-3429.0,687,1279.814783
-3647.0,688,1293.331743
-3582.0,687,1308.782119
-4205.0,687,1326.342305
-3057.0,688,1340.040128
-3621.0,686,1355.650057
-3652.0,687,1371.113856
-4167.0,688,1384.271338
-3570.0,686,1399.655411
-3021.0,687,1415.015349
-3505.0,688,1428.083817
-3580.0,688,1443.927601
-3566.0,687,1459.433593
-3283.0,687,1472.498277
-3735.0,688,1488.141238
-3484.0,688,1503.639553
-3267.0,688,1516.639613
-3502.0,687,1532.005614
-3306.0,687,1547.557701
-3459.0,689,1560.879347
-3864.0,687,1576.4379
-3592.0,688,1592.746312
-3952.0,689,1606.418879
-3721.0,687,1622.50568
-3620.0,688,1638.878134
-3714.0,689,1651.95979
-3963.0,687,1667.437346
-3335.0,688,1682.865993
-3407.0,687,1695.891217
-3852.0,687,1711.435018
-3739.0,687,1726.917742
-3069.0,688,1739.820692
-3506.0,687,1755.390347
-3541.0,688,1770.865982
-3058.0,688,1783.918763
-3831.0,687,1799.382148
-3351.0,687,1815.764079
-3876.0,688,1828.817753
-3187.0,688,1844.087531
-3903.0,688,1859.694297
-3672.0,688,1872.806913
-3664.0,688,1888.365781
-3663.0,688,1903.665983
-3235.0,688,1916.591716
-3735.0,688,1932.024314
-3391.0,688,1948.198428
-3352.0,687,1962.90409
-3631.0,688,1979.920066
-3973.0,689,1995.486227
-3445.0,688,2008.627709
-3854.0,688,2024.021374
-3791.0,687,2039.489253
-4049.0,687,2052.653983
-3354.0,688,2067.993281
-4073.0,688,2083.452597
-3655.0,687,2096.45086
-3477.0,688,2112.50634
-3468.0,688,2128.401775
-3395.0,686,2141.832618
-3378.0,688,2157.531035
-3299.0,688,2173.643552
-2966.0,688,2188.007001
-3615.0,686,2204.020502
-3723.0,686,2221.875313
-3478.0,687,2238.50463
-3604.0,688,2252.563815
-4085.0,687,2270.355614
-3477.0,688,2287.506639
-3450.0,688,2301.943562
-3915.0,688,2319.188263
-3280.0,688,2336.690482
-3663.0,688,2351.806619
-4001.0,687,2371.250068
-3470.0,687,2388.752519
-3444.0,686,2401.686986
-3609.0,687,2418.203834
-4165.0,687,2434.417232
-3192.0,688,2448.051903
-3436.0,688,2464.285063
-3100.0,688,2480.667195
-3141.0,688,2493.781652
-4335.0,687,2509.913318
-3531.0,688,2526.285469
-4067.0,686,2539.770962
-3575.0,688,2555.979637
-3650.0,688,2572.075909
-3673.0,686,2585.481435
-3196.0,687,2602.138959
-3211.0,688,2617.623209
-3343.0,688,2631.405039
-3709.0,688,2648.867879
-4077.0,686,2665.940055
-3806.0,687,2681.194076
-3336.0,688,2697.372405
-3684.0,687,2714.169467
-3704.0,688,2727.176702
-3831.0,688,2742.797821
-3373.0,686,2759.031628
-3305.0,689,2773.632347
-4250.0,687,2789.666405
-3289.0,688,2805.983954
-3808.0,688,2819.539893
-3573.0,686,2836.018768
-3264.0,688,2851.487626
-3051.0,687,2864.436371
-3893.0,686,2880.392761
-3889.0,686,2896.665541
-3419.0,687,2910.823512
-3648.0,686,2926.564198
-3389.0,688,2942.349621
-3601.0,688,2956.615853
-3725.0,687,2973.724948
-3521.0,688,2990.879363
-3810.0,688,3005.4092
-3387.0,687,3022.469109
-4019.0,688,3037.982594
-3196.0,688,3051.933722
-3324.0,687,3068.685566
-3132.0,688,3084.527727
-3762.0,687,3098.462133
-4028.0,688,3116.386664
-3878.0,687,3132.012139
-3750.0,686,3145.002862
-3409.0,688,3160.262416
-3553.0,688,3175.748658
-3171.0,687,3188.823452
-3421.0,687,3204.228127
-3736.0,687,3220.523236
-3432.0,687,3233.807582
-4105.0,688,3250.492232
-3460.0,688,3266.939939
-4050.0,687,3281.300497
-3757.0,688,3297.714364
-3594.0,686,3314.14992
-4020.0,688,3327.785539
-4561.0,688,3344.507633
-3517.0,687,3360.102463
-3600.0,688,3376.514826
-3733.0,688,3390.322682
-3452.0,687,3406.571204
-3480.0,688,3422.679529
-3825.0,688,3436.303616
-3681.0,688,3452.519358
-3260.0,687,3469.006672
-4029.0,688,3482.820876
-3315.0,688,3499.403116
-3189.0,688,3515.393749
-3508.0,688,3529.292938
-3391.0,688,3548.231795
-3323.0,688,3564.893594
-3360.0,689,3578.745402
-3293.0,688,3594.777176
-3795.0,687,3610.799072
-3264.0,688,3624.477956
-3553.0,688,3641.676172
-3569.0,688,3658.782195
-3238.0,688,3673.008731
-3607.0,688,3688.420599
-3713.0,687,3704.807689
-3853.0,688,3719.128436
-3684.0,688,3735.139424
-3466.0,688,3752.261326
-3748.0,688,3767.355267
-3736.0,688,3783.001967
-3553.0,688,3798.755698
-3330.0,687,3813.625413
-3467.0,687,3833.056016
-4637.0,688,3848.602397
-3592.0,688,3861.701989
-3627.0,689,3877.151339
-3008.0,688,3892.588292
-3949.0,686,3905.596514
-3382.0,688,3921.054902
-3674.0,687,3936.480835
-3085.0,688,3949.522972
-4067.0,687,3965.046726
-4148.0,686,3981.061253
-3785.0,687,3995.239742
-4151.0,687,4011.383017
-3380.0,687,4027.581471
-3843.0,688,4041.649558
-3375.0,688,4058.380097
-3450.0,688,4074.500755
-3798.0,686,4088.614741
-3691.0,687,4104.124772
-3756.0,687,4119.831024
-3873.0,688,4134.415978
-3337.0,688,4150.428166
-3467.0,687,4166.363156
-3760.0,688,4181.137917
-3399.0,688,4196.60215
-3642.0,688,4213.131524
-3975.0,687,4226.377541
-3740.0,688,4241.843932
-3693.0,687,4257.151089
-3532.0,687,4270.144766
-3478.0,688,4285.706222
-3592.0,686,4301.158375
-3812.0,687,4314.186916
-3691.0,688,4329.419927
-4540.0,687,4345.698544
-3775.0,687,4358.809435
-3590.0,688,4375.698154
-3968.0,686,4400.322497
-3594.0,689,4415.680702
-3470.0,688,4428.737674
-3302.0,687,4444.105735
-2971.0,688,4459.40111
-3216.0,687,4473.298506
-3545.0,688,4488.729133
-3529.0,687,4504.08937
-3613.0,687,4517.269131
-3950.0,686,4532.707374
-3100.0,688,4548.214876
-3557.0,688,4561.266852
-3579.0,689,4576.669254
-3884.0,686,4592.088552
-3720.0,686,4605.131373
-4202.0,686,4620.535459
-3905.0,688,4636.5779
-3857.0,686,4650.41203
-3562.0,688,4665.927903
-3763.0,687,4681.531334
-3642.0,687,4694.716689
-3134.0,687,4711.957018
-3690.0,689,4735.805029
-3738.0,688,4749.508966
-3174.0,688,4764.922127
-3598.0,688,4780.564322
-3504.0,688,4793.466319
-3173.0,688,4808.765339
-3423.0,688,4824.256303
-3410.0,688,4837.334147
-3607.0,688,4852.691137
-3217.0,688,4868.085309
-3439.0,688,4881.035114
-3502.0,688,4896.396975
-3597.0,688,4911.80039
-4247.0,688,4926.879633
-3644.0,688,4943.469199
-3377.0,688,4960.291338
-3685.0,688,4974.672025
-3412.0,688,4990.183841
-3644.0,688,5007.38753
-4166.0,686,5027.62543
-3522.0,687,5044.313765
-3604.0,687,5061.08805
-3440.0,688,5075.458871
-3814.0,688,5095.124205
-3992.0,687,5116.112267
-3537.0,688,5134.067414
-3519.0,688,5152.295679
-4105.0,687,5171.517506
-3933.0,687,5190.530021
-3842.0,687,5216.440563
-3368.0,688,5240.2421
-3783.0,686,5254.924475
-3436.0,688,5273.809432
-4230.0,688,5289.318431
-3535.0,687,5303.929478
-3707.0,688,5320.788709
-3695.0,686,5336.71057
-3238.0,688,5350.473222
-4297.0,687,5367.211929
-3331.0,688,5383.515737
-3459.0,686,5397.296094
-4248.0,688,5418.048115
-3547.0,687,5435.51099
-3206.0,688,5449.772028
-4023.0,687,5467.108338
-3120.0,688,5484.516766
-3430.0,687,5500.381003
-4402.0,688,5516.730976
-3434.0,688,5532.578272
-4184.0,688,5546.023784
-3116.0,688,5561.118673
-3602.0,688,5577.646447
-3817.0,687,5594.190322
-3398.0,688,5608.068956
-4140.0,688,5624.190366
-3615.0,687,5640.064777
-3535.0,688,5654.282976
-3231.0,688,5670.262044
-3776.0,688,5686.411417
-3775.0,688,5700.001703
-3338.0,688,5717.050936
-3316.0,688,5733.356336
-3425.0,687,5748.520822
-3688.0,688,5766.206043
